target,actual,predicted
education,Some college but no degree,10th grade
education,Children,High school graduate
education,Bachelors degree(BA AB BS),11th grade
education,Some college but no degree,5th or 6th grade
education,High school graduate,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,Some college but no degree,High school graduate
education,High school graduate,Associates degree-academic program
education,High school graduate,Some college but no degree
education,Children,10th grade
education,Children,High school graduate
education,High school graduate,10th grade
education,High school graduate,Bachelors degree(BA AB BS)
education,Bachelors degree(BA AB BS),High school graduate
education,Associates degree-academic program,Associates degree-occup /vocational
education,7th and 8th grade,High school graduate
education,Bachelors degree(BA AB BS),11th grade
education,Associates degree-occup /vocational,10th grade
education,7th and 8th grade,9th grade
education,Children,7th and 8th grade
education,5th or 6th grade,High school graduate
education,High school graduate,Less than 1st grade
education,High school graduate,11th grade
education,Less than 1st grade,High school graduate
education,11th grade,Associates degree-academic program
education,Bachelors degree(BA AB BS),High school graduate
education,11th grade,High school graduate
education,Some college but no degree,11th grade
education,11th grade,High school graduate
education,9th grade,7th and 8th grade
education,1st 2nd 3rd or 4th grade,High school graduate
education,High school graduate,11th grade
education,Associates degree-academic program,Some college but no degree
education,10th grade,5th or 6th grade
education,High school graduate,5th or 6th grade
education,9th grade,High school graduate
education,11th grade,5th or 6th grade
education,High school graduate,12th grade no diploma
education,Associates degree-occup /vocational,High school graduate
education,High school graduate,Some college but no degree
education,Prof school degree (MD DDS DVM LLB JD),10th grade
education,Some college but no degree,High school graduate
education,High school graduate,10th grade
education,Associates degree-occup /vocational,High school graduate
education,Prof school degree (MD DDS DVM LLB JD),Some college but no degree
education,Some college but no degree,12th grade no diploma
education,Associates degree-occup /vocational,11th grade
education,Doctorate degree(PhD EdD),Some college but no degree
education,Associates degree-occup /vocational,10th grade
education,High school graduate,Prof school degree (MD DDS DVM LLB JD)
education,Bachelors degree(BA AB BS),Some college but no degree
education,Children,10th grade
education,Bachelors degree(BA AB BS),Associates degree-academic program
education,Some college but no degree,High school graduate
education,High school graduate,Some college but no degree
education,7th and 8th grade,High school graduate
education,11th grade,High school graduate
education,Some college but no degree,Associates degree-academic program
education,12th grade no diploma,11th grade
education,Some college but no degree,11th grade
education,High school graduate,11th grade
education,High school graduate,1st 2nd 3rd or 4th grade
education,Bachelors degree(BA AB BS),Some college but no degree
education,Some college but no degree,12th grade no diploma
education,10th grade,High school graduate
education,Some college but no degree,High school graduate
education,1st 2nd 3rd or 4th grade,Bachelors degree(BA AB BS)
education,High school graduate,10th grade
education,Some college but no degree,High school graduate
education,Bachelors degree(BA AB BS),High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),11th grade
education,High school graduate,Some college but no degree
education,Associates degree-academic program,High school graduate
education,High school graduate,Some college but no degree
education,High school graduate,High school graduate
education,7th and 8th grade,Some college but no degree
education,Associates degree-occup /vocational,Some college but no degree
education,9th grade,Prof school degree (MD DDS DVM LLB JD)
education,5th or 6th grade,Some college but no degree
education,Bachelors degree(BA AB BS),High school graduate
education,Bachelors degree(BA AB BS),Some college but no degree
education,Associates degree-academic program,5th or 6th grade
education,High school graduate,Some college but no degree
education,Some college but no degree,10th grade
education,Doctorate degree(PhD EdD),Associates degree-academic program
education,5th or 6th grade,High school graduate
education,Some college but no degree,9th grade
education,High school graduate,High school graduate
education,10th grade,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,Bachelors degree(BA AB BS),High school graduate
education,11th grade,High school graduate
education,High school graduate,Bachelors degree(BA AB BS)
education,Some college but no degree,Bachelors degree(BA AB BS)
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,Some college but no degree,High school graduate
education,Some college but no degree,High school graduate
education,High school graduate,Some college but no degree
education,11th grade,5th or 6th grade
education,High school graduate,9th grade
education,High school graduate,High school graduate
education,Prof school degree (MD DDS DVM LLB JD),11th grade
education,Associates degree-occup /vocational,High school graduate
education,Masters degree(MA MS MEng MEd MSW MBA),High school graduate
education,11th grade,7th and 8th grade
education,Bachelors degree(BA AB BS),High school graduate
education,High school graduate,11th grade
education,Some college but no degree,12th grade no diploma
education,Some college but no degree,Masters degree(MA MS MEng MEd MSW MBA)
education,Bachelors degree(BA AB BS),High school graduate
education,High school graduate,High school graduate
education,11th grade,10th grade
education,Some college but no degree,Bachelors degree(BA AB BS)
education,High school graduate,High school graduate
education,7th and 8th grade,10th grade
education,Children,9th grade
education,Masters degree(MA MS MEng MEd MSW MBA),Some college but no degree
education,Masters degree(MA MS MEng MEd MSW MBA),11th grade
education,7th and 8th grade,High school graduate
education,High school graduate,10th grade
education,Some college but no degree,High school graduate
education,1st 2nd 3rd or 4th grade,Some college but no degree
education,7th and 8th grade,1st 2nd 3rd or 4th grade
education,Bachelors degree(BA AB BS),High school graduate
education,11th grade,High school graduate
education,Bachelors degree(BA AB BS),11th grade
education,12th grade no diploma,5th or 6th grade
education,High school graduate,11th grade
education,High school graduate,Bachelors degree(BA AB BS)
education,Children,High school graduate
education,Some college but no degree,11th grade
