index,target,mcc
7,detailedindustryrecode,0.7521026338157196
7,liveinthishouse1yearago,0.9998063449894072
7,majorindustrycode,0.9458169821419213
7,migrationcodechangeinmsa,0.7465979893239094
7,migrationcodechangeinreg,0.926147318159693
7,migrationcodemovewithinreg,0.9983825619076653
7,migrationprevresinsunbelt,0.9634382034160095
7,regionofpreviousresidence,0.9981340794550648
8,citizenship,0.7863448684407603
8,countryofbirthfather,0.7781531194726748
8,countryofbirthmother,0.7758509719842981
8,countryofbirthself,0.8816504587501052
8,detailedhouseholdandfamilystat,0.8370949010361937
8,detailedhouseholdsummaryinhousehold,0.9664411144125509
8,hispanicorigin,0.6891784914340391
8,taxfilerstat,0.6177355026258741
11,migrationcodechangeinmsa,0.7009802184132585
11,migrationcodemovewithinreg,0.6937786282382167
11,taxfilerstat,0.6246816992460962
5,detailedhouseholdandfamilystat,0.883003474782651
5,detailedhouseholdsummaryinhousehold,0.9766291782429327
5,familymembersunder18,0.751409158459924
5,maritalstat,0.6433543844829521
5,taxfilerstat,0.7060476266192192
10,liveinthishouse1yearago,0.9996429344785944
10,migrationcodechangeinmsa,0.6675462723281411
10,migrationcodechangeinreg,0.8871379269021732
10,migrationcodemovewithinreg,0.8658830665170809
9,familymembersunder18,0.7186371276624626
9,taxfilerstat,0.6203500178592947
6,citizenship,0.7625845997332849
6,countryofbirthfather,0.6871154473346825
6,countryofbirthmother,0.707657843886859
6,countryofbirthself,0.8509033400821759
6,hispanicorigin,0.6419233055708874
6,migrationcodechangeinmsa,0.6615318424059176
6,migrationcodechangeinreg,0.8961407482145533
6,migrationcodemovewithinreg,0.993593949315646
14,fillincquestionnaireforveteransadmin,0.6673734939759037
14,liveinthishouse1yearago,1.0
14,migrationcodechangeinreg,0.6862491392835164
14,migrationcodemovewithinreg,1.0000000000000002
16,countryofbirthfather,0.702512713729749
16,countryofbirthmother,0.7074641258023235
16,detailedhouseholdandfamilystat,0.6283080947102117
16,detailedhouseholdsummaryinhousehold,0.8841101948754144
16,detailedindustryrecode,0.7851358632097124
16,detailedoccupationrecode,0.6740139098141931
16,hispanicorigin,0.6053683840949132
16,majorindustrycode,0.9521440650031394
16,majoroccupationcode,0.9494687509066315
16,regionofpreviousresidence,0.913202962909338
15,migrationcodechangeinmsa,0.6305600310593901
15,migrationcodechangeinreg,0.8822280659654959
15,migrationcodemovewithinreg,0.9989540989446853
15,migrationprevresinsunbelt,0.9475630347068188
15,regionofpreviousresidence,0.9884247573849984
12,detailedhouseholdandfamilystat,0.7253144178936208
12,detailedhouseholdsummaryinhousehold,0.9707853266120264
12,familymembersunder18,0.7379292370459318
4,classofworker,0.612249218783978
4,detailedhouseholdandfamilystat,0.8516780985897422
4,detailedhouseholdsummaryinhousehold,0.9275525163833928
4,detailedindustryrecode,0.8040019579397849
4,detailedoccupationrecode,0.6927827077001849
4,familymembersunder18,0.6685017404772704
4,majorindustrycode,0.9598362783981635
4,majoroccupationcode,0.9410019041429033
4,taxfilerstat,0.6798005816716206
