index,target,mcc
13,L_LINESTATUS,0.9882
10,L_LINESTATUS,0.989493
10,O_ORDERSTATUS,0.948443
10,PS_PARTKEY,0.926132
10,P_PARTKEY,0.909605
8,PS_PARTKEY,0.97571
8,P_PARTKEY,0.964845
12,L_LINESTATUS,0.987399
19,L_PARTKEY,0.94199
19,PS_PARTKEY,0.952939
19,P_MFGR,1
23,CN_REGIONKEY,1
23,CR_REGIONKEY,1
9,PS_PARTKEY,0.996406
9,P_PARTKEY,0.992472
4,L_LINESTATUS,0.994721
4,O_ORDERSTATUS,0.971101
26,PS_SUPPKEY,0.999639
26,S_SUPPKEY,0.99994
15,L_LINESTATUS,0.992763
1,CN_NAME,1
1,CN_NATIONKEY,1
1,CN_REGIONKEY,1
1,C_NATIONKEY,1
1,C_PHONE,1
7,PS_PARTKEY,0.997209
7,P_PARTKEY,0.993538
25,SN_COMMENT,1
25,SN_REGIONKEY,1
25,S_NATIONKEY,1
17,SN_REGIONKEY,1
17,SR_COMMENT,1
17,SR_NAME,1
21,L_SUPPKEY,0.986237
21,PS_SUPPKEY,0.98913
14,L_LINESTATUS,0.97304
27,CN_COMMENT,1
27,C_NATIONKEY,1
3,L_LINESTATUS,0.985267
3,O_ORDERSTATUS,0.864817
28,L_ORDERKEY,1
28,O_ORDERKEY,1
18,SN_NAME,1
18,S_NATIONKEY,1
