index,target,mcc
10,L_PARTKEY,1
10,PS_PARTKEY,1
13,L_SUPPKEY,1
13,PS_SUPPKEY,1
18,N_REGIONKEY,1
2,C_CUSTKEY,0.731151
2,C_NATIONKEY,1
2,C_PHONE,1
2,N_NAME,1
2,N_NATIONKEY,1
2,N_REGIONKEY,1
2,O_CUSTKEY,0.732167
21,L_ORDERKEY,1
21,O_ORDERKEY,1
3,PS_SUPPKEY,0.764826
3,S_ADDRESS,0.765285
3,S_COMMENT,0.768789
3,S_NAME,0.765455
7,L_LINESTATUS,0.987507
20,C_NATIONKEY,1
20,N_COMMENT,1
16,L_LINESTATUS,0.992878
16,O_ORDERSTATUS,0.956455
5,PS_PARTKEY,0.999763
5,P_PARTKEY,0.999755
8,N_REGIONKEY,1
8,P_MFGR,1
8,R_COMMENT,1
8,R_NAME,1
17,N_REGIONKEY,1
17,R_REGIONKEY,1
9,L_PARTKEY,1
9,PS_PARTKEY,1
19,N_REGIONKEY,1
