index,target,mcc
21,L_ORDERKEY,1
21,O_ORDERKEY,1
13,L_SUPPKEY,0.98918
13,PS_SUPPKEY,0.990524
16,L_LINESTATUS,0.994961
16,O_ORDERSTATUS,0.969586
8,N_REGIONKEY,1
8,P_MFGR,1
8,R_COMMENT,1
8,R_NAME,1
17,N_REGIONKEY,1
17,R_REGIONKEY,1
20,C_NATIONKEY,1
20,N_COMMENT,1
20,PS_SUPPKEY,0.914856
20,S_SUPPKEY,0.90312
9,L_PARTKEY,0.963428
9,PS_PARTKEY,0.967899
19,N_REGIONKEY,1
11,L_EXTENDEDPRICE,0.673543
7,L_LINESTATUS,0.98732
18,N_REGIONKEY,1
5,PS_PARTKEY,0.988777
5,P_PARTKEY,0.965488
10,L_PARTKEY,0.996548
10,PS_PARTKEY,0.991905
2,C_NATIONKEY,1
2,C_PHONE,1
2,N_NAME,1
2,N_NATIONKEY,1
2,N_REGIONKEY,1
