index,target,mcc
8,L_LINESTATUS,0.991719
8,O_ORDERSTATUS,0.971669
8,PS_PARTKEY,0.99993
8,P_PARTKEY,0.999946
11,L_LINESTATUS,0.98761
5,L_LINESTATUS,0.992866
5,O_ORDERSTATUS,0.954019
25,L_ORDERKEY,1
25,O_ORDERKEY,1
18,L_SUPPKEY,0.999995
18,PS_SUPPKEY,0.999984
1,CN_NAME,1
1,CN_NATIONKEY,1
1,CN_REGIONKEY,1
1,C_NATIONKEY,1
1,C_PHONE,1
21,SN_REGIONKEY,1
21,SR_REGIONKEY,1
14,L_PARTKEY,1
14,PS_PARTKEY,1
24,CN_COMMENT,1
24,C_NATIONKEY,1
16,L_PARTKEY,1
16,PS_PARTKEY,1
16,P_MFGR,1
3,C_CUSTKEY,0.869792
3,C_NATIONKEY,0.999261
3,C_PHONE,0.999459
3,O_CUSTKEY,0.864293
22,SN_COMMENT,1
22,SN_REGIONKEY,1
22,S_NATIONKEY,1
12,SN_REGIONKEY,1
12,SR_COMMENT,1
12,SR_NAME,1
4,CN_NAME,0.999994
4,C_PHONE,1
4,PS_SUPPKEY,0.69263
4,S_ADDRESS,0.695344
4,S_COMMENT,0.698071
4,S_NAME,0.694862
23,CN_REGIONKEY,1
